Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Bravado,2016/07/31,ESWC 2016 South African Qualifier,Aperture,South Africa,Train,16,10,W
Bravado,2016/07/30,ESWC 2016 South African Qualifier,Energy,South Africa,Train,16,2,W
Bravado,2016/07/30,ESWC 2016 South African Qualifier,Energy,South Africa,Overpass,16,12,W
Bravado,2016/03/20,Telkom DGL Masters 2016 Cape Town,Aperture,South Africa,Mirage,16,2,W
Bravado,2016/03/20,Telkom DGL Masters 2016 Cape Town,Aperture,South Africa,Overpass,19,17,W
Bravado,2016/02/14,GWZA Season 1 Finals,Aperture,South Africa,Dust2,16,9,W
Bravado,2016/02/14,GWZA Season 1 Finals,Aperture,South Africa,Inferno,16,12,W
Bravado,2016/02/13,GWZA Season 1 Finals,Aperture,South Africa,Cache,16,7,W
Bravado,2016/02/13,GWZA Season 1 Finals,Aperture,South Africa,Inferno,16,12,W
Bravado,2016/02/13,GWZA Season 1 Finals,carboN,South Africa,Cache,16,10,W
Bravado,2016/02/13,GWZA Season 1 Finals,carboN,South Africa,Cobblestone,16,11,W
Bravado,2015/12/12,BHG CS:GO Tournament,Ventus,South Africa,Inferno,16,6,W
Bravado,2015/12/12,BHG CS:GO Tournament,Ventus,South Africa,Overpass,16,3,W
Bravado,2015/12/12,BHG CS:GO Tournament,Pixel Hunters,South Africa,Inferno,16,4,W
Bravado,2015/12/12,BHG CS:GO Tournament,Pixel Hunters,South Africa,Overpass,16,0,W
Bravado,2015/10/04,MWEB GameZone Masters Series,carboN,South Africa,Mirage,16,13,W
Bravado,2015/10/04,MWEB GameZone Masters Series,carboN,South Africa,Inferno,16,8,W
Bravado,2015/10/03,MWEB GameZone Masters Series,Energy,South Africa,Dust2,16,2,W
Bravado,2015/10/03,MWEB GameZone Masters Series,Energy,South Africa,Mirage,16,9,W
Bravado,2015/07/11,ESWC 2015,Renegades,Australia,Inferno,5,16,L
Bravado,2015/07/11,ESWC 2015,CLG,United States,Dust2,7,16,L
Bravado,2015/07/10,ESWC 2015,Envy,France,Inferno,3,16,L
Bravado,2015/02/19,Battle for the Throne,Eternal Conflict,South Africa,Cache,16,21,L
Bravado,2015/02/19,Battle for the Throne,Eternal Conflict,South Africa,Inferno,16,12,W
Bravado,2015/02/19,Battle for the Throne,Eternal Conflict,South Africa,Mirage,28,31,L
Bravado,2014/11/27,DreamHack Winter 2014,Cloud9,United States,Cache,1,16,L
Bravado,2014/11/27,DreamHack Winter 2014,fnatic,Sweden,Mirage,2,16,L
Bravado,2014/10/12,Telkom Gaming CS:GO Championships 2014,In-Finity,South Africa,Nuke,16,12,W
Bravado,2014/10/12,Telkom Gaming CS:GO Championships 2014,In-Finity,South Africa,Cache,16,14,W
Bravado,2014/10/12,Telkom Gaming CS:GO Championships 2014,In-Finity,South Africa,Dust2,16,8,W
Bravado,2014/10/11,Telkom Gaming CS:GO Championships 2014,Energy,South Africa,Nuke,19,17,W
Bravado,2014/10/11,Telkom Gaming CS:GO Championships 2014,Energy,South Africa,Cache,12,16,L
Bravado,2014/10/11,Telkom Gaming CS:GO Championships 2014,Energy,South Africa,Dust2,16,14,W
Bravado,2013/10/05,Do Gaming League Championship 2013,Damage Control,South Africa,Inferno_se,16,12,W
Bravado,2013/10/05,Do Gaming League Championship 2013,Damage Control,South Africa,Cache,16,14,W
Exceed,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Nuke,10,13,L
Exceed,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Dust2,13,9,W
Exceed,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Ancient,8,13,L
Exceed,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Inferno,10,13,L
